wavfilename,F72726,F91903,F91907,F91913,F91915,F91916,F91954,F91959,F91969,F91973
cutted_fgx_F72726_0000.wav,1,,,,,,,,,
cutted_fgx_F72726_0001.wav,1,,,,,,,,,
cutted_fgx_F72726_0002.wav,1,,,,,,,,,
cutted_fgx_F72726_0003.wav,1,,,,,,,,,
cutted_fgx_F72726_0004.wav,1,,,,,,,,,
cutted_fgx_F72726_0005.wav,1,,,,,,,,,
cutted_fgx_F72726_0006.wav,1,,,,,,,,,
cutted_fgx_F72726_0007.wav,1,,,,,,,,,
cutted_fgx_F72726_0008.wav,1,,,,,,,,,
cutted_fgx_F72726_0009.wav,1,,,,,,,,,
cutted_fgx_F72726_0010.wav,1,,,,,,,,,
cutted_fgx_F72726_0011.wav,1,,,,,,,,,
cutted_fgx_F72726_0012.wav,1,,,,,,,,,
cutted_fgx_F72726_0013.wav,1,,,,,,,,,
cutted_fgx_F72726_0014.wav,1,,,,,,,,,
cutted_fgx_F72726_0015.wav,1,,,,,,,,,
cutted_fgx_F72726_0016.wav,1,,,,,,,,,
cutted_fgx_F72726_0017.wav,1,,,,,,,,,
cutted_fgx_F72726_0018.wav,1,,,,,,,,,
cutted_fgx_F72726_0019.wav,1,,,,,,,,,
cutted_fgx_F72726_0020.wav,1,,,,,,,,,
cutted_fgx_F72726_0021.wav,1,,,,,,,,,
cutted_fgx_F72726_0022.wav,1,,,,,,,,,
cutted_fgx_F72726_0023.wav,1,,,,,,,,,
cutted_fgx_F72726_0024.wav,1,,,,,,,,,
cutted_fgx_F72726_0025.wav,1,,,,,,,,,
cutted_fgx_F72726_0026.wav,1,,,,,,,,,
cutted_fgx_F72726_0027.wav,1,,,,,,,,,
cutted_fgx_F72726_0028.wav,1,,,,,,,,,
cutted_fgx_F72726_0029.wav,1,,,,,,,,,
cutted_fgx_F72726_0030.wav,1,,,,,,,,,
cutted_fgx_F72726_0031.wav,1,,,,,,,,,
cutted_fgx_F72726_0032.wav,1,,,,,,,,,
cutted_fgx_F72726_0033.wav,1,,,,,,,,,
cutted_fgx_F72726_0034.wav,1,,,,,,,,,
cutted_fgx_F72726_0035.wav,1,,,,,,,,,
cutted_fgx_F72726_0036.wav,1,,,,,,,,,
cutted_fgx_F72726_0037.wav,1,,,,,,,,,
cutted_fgx_F72726_0038.wav,1,,,,,,,,,
cutted_fgx_F72726_0039.wav,1,,,,,,,,,
cutted_fgx_F72726_0040.wav,1,,,,,,,,,
cutted_fgx_F91903_0000.wav,,1,,,,,,,,
cutted_fgx_F91903_0001.wav,,1,,,,,,,,
