File,Length (s),Padding_Time
13B3-1_exhale-i10_10.wav,1.51,1.49
13B3-1_exhale-i10_77.wav,1.51,1.49
13B3-1_exhale-i11_11.wav,2.07,0.9300000000000002
13B3-1_exhale-i11_78.wav,1.68,1.32
13B3-1_exhale-i12_12.wav,0.78,2.2199999999999998
13B3-1_exhale-i12_79.wav,2.23,0.77
13B3-1_exhale-i13_13.wav,1.15,1.85
13B3-1_exhale-i13_80.wav,2.15,0.8500000000000001
13B3-1_exhale-i14_14.wav,0.89,2.11
13B3-1_exhale-i14_81.wav,3.0,0.0
13B3-1_exhale-i15_15.wav,1.18,1.82
13B3-1_exhale-i15_82.wav,2.35,0.6499999999999999
13B3-1_exhale-i16_16.wav,1.26,1.74
13B3-1_exhale-i16_83.wav,2.59,0.41000000000000014
13B3-1_exhale-i17_17.wav,0.85,2.15
13B3-1_exhale-i17_84.wav,1.71,1.29
13B3-1_exhale-i18_18.wav,1.23,1.77
13B3-1_exhale-i18_85.wav,2.39,0.6099999999999999
13B3-1_exhale-i19_19.wav,0.71,2.29
13B3-1_exhale-i19_86.wav,2.99,0.009999999999999787
13B3-1_exhale-i1_1.wav,1.9,1.1
13B3-1_exhale-i1_66.wav,2.43,0.5699999999999998
13B3-1_exhale-i1_68.wav,1.44,1.56
13B3-1_exhale-i20_20.wav,1.14,1.86
13B3-1_exhale-i20_87.wav,2.96,0.040000000000000036
13B3-1_exhale-i21_21.wav,1.05,1.95
13B3-1_exhale-i21_88.wav,3.0,0.0
13B3-1_exhale-i22_22.wav,1.05,1.95
13B3-1_exhale-i22_89.wav,2.3,0.7000000000000002
13B3-1_exhale-i23_23.wav,1.28,1.72
13B3-1_exhale-i23_90.wav,2.4,0.6000000000000001
13B3-1_exhale-i24_24.wav,1.16,1.84
13B3-1_exhale-i24_91.wav,1.09,1.91
13B3-1_exhale-i25_25.wav,1.26,1.74
13B3-1_exhale-i25_92.wav,1.05,1.95
13B3-1_exhale-i26_26.wav,2.4,0.6000000000000001
13B3-1_exhale-i26_93.wav,1.47,1.53
13B3-1_exhale-i27_27.wav,1.47,1.53
13B3-1_exhale-i27_94.wav,0.64,2.36
13B3-1_exhale-i28_28.wav,1.04,1.96
13B3-1_exhale-i28_95.wav,0.92,2.08
13B3-1_exhale-i29_29.wav,1.18,1.82
13B3-1_exhale-i29_96.wav,1.14,1.86
13B3-1_exhale-i2_2.wav,2.03,0.9700000000000002
13B3-1_exhale-i2_67.wav,1.46,1.54
13B3-1_exhale-i2_69.wav,2.17,0.8300000000000001
13B3-1_exhale-i30_30.wav,1.18,1.82
13B3-1_exhale-i30_97.wav,1.17,1.83
13B3-1_exhale-i31_31.wav,1.09,1.91
13B3-1_exhale-i31_98.wav,1.96,1.04
13B3-1_exhale-i32_32.wav,1.38,1.62
13B3-1_exhale-i32_99.wav,1.82,1.18
