File,Length (s),Padding_Time
32PC1_2021-22_0.wav,0.701,2.299
32PC1_2021-22_1.wav,0.727,2.273
32PC1_2021-22_10.wav,0.804,2.1959999999999997
32PC1_2021-22_11.wav,0.811,2.189
32PC1_2021-22_12.wav,0.817,2.183
32PC1_2021-22_13.wav,0.829,2.1710000000000003
32PC1_2021-22_14.wav,0.835,2.165
32PC1_2021-22_15.wav,0.836,2.164
32PC1_2021-22_16.wav,0.837,2.1630000000000003
32PC1_2021-22_17.wav,0.836,2.164
32PC1_2021-22_18.wav,0.842,2.158
32PC1_2021-22_19.wav,0.847,2.153
32PC1_2021-22_2.wav,0.787,2.213
32PC1_2021-22_20.wav,0.859,2.141
32PC1_2021-22_21.wav,0.859,2.141
32PC1_2021-22_22.wav,0.859,2.141
32PC1_2021-22_23.wav,0.865,2.135
32PC1_2021-22_24.wav,0.875,2.125
32PC1_2021-22_25.wav,0.88,2.12
32PC1_2021-22_26.wav,0.88,2.12
32PC1_2021-22_27.wav,0.883,2.117
32PC1_2021-22_28.wav,0.902,2.098
32PC1_2021-22_29.wav,0.902,2.098
32PC1_2021-22_3.wav,0.857,2.143
32PC1_2021-22_30.wav,0.902,2.098
32PC1_2021-22_31.wav,0.902,2.098
32PC1_2021-22_32.wav,0.902,2.098
32PC1_2021-22_33.wav,0.923,2.077
32PC1_2021-22_34.wav,0.923,2.077
32PC1_2021-22_35.wav,0.924,2.076
32PC1_2021-22_36.wav,0.923,2.077
32PC1_2021-22_37.wav,0.928,2.072
32PC1_2021-22_38.wav,0.929,2.0709999999999997
32PC1_2021-22_39.wav,0.934,2.066
32PC1_2021-22_4.wav,0.865,2.135
32PC1_2021-22_40.wav,0.957,2.043
32PC1_2021-22_41.wav,0.959,2.041
32PC1_2021-22_42.wav,0.977,2.023
32PC1_2021-22_43.wav,0.997,2.003
32PC1_2021-22_44.wav,1.0,2.0
32PC1_2021-22_45.wav,1.0,2.0
32PC1_2021-22_46.wav,0.698,2.302
32PC1_2021-22_47.wav,0.588,2.412
32PC1_2021-22_48.wav,0.682,2.318
32PC1_2021-22_49.wav,0.724,2.276
32PC1_2021-22_5.wav,0.905,2.0949999999999998
32PC1_2021-22_50.wav,0.604,2.396
32PC1_2021-22_51.wav,0.469,2.531
32PC1_2021-22_52.wav,0.409,2.591
32PC1_2021-22_53.wav,0.375,2.625
32PC1_2021-22_54.wav,0.469,2.531
32PC1_2021-22_55.wav,0.468,2.532
32PC1_2021-22_56.wav,0.46,2.54
32PC1_2021-22_57.wav,0.494,2.5060000000000002
32PC1_2021-22_58.wav,0.468,2.532
32PC1_2021-22_59.wav,0.502,2.498
32PC1_2021-22_6.wav,0.99,2.01
32PC1_2021-22_60.wav,0.537,2.463
32PC1_2021-22_61.wav,0.451,2.549
32PC1_2021-22_62.wav,0.528,2.472
32PC1_2021-22_63.wav,0.553,2.447
32PC1_2021-22_64.wav,0.647,2.3529999999999998
32PC1_2021-22_65.wav,0.494,2.5060000000000002
32PC1_2021-22_66.wav,0.528,2.472
32PC1_2021-22_67.wav,0.536,2.464
32PC1_2021-22_68.wav,0.63,2.37
32PC1_2021-22_69.wav,0.553,2.447
32PC1_2021-22_7.wav,0.989,2.011
32PC1_2021-22_70.wav,0.502,2.498
32PC1_2021-22_71.wav,0.613,2.387
32PC1_2021-22_72.wav,0.545,2.455
32PC1_2021-22_73.wav,0.58,2.42
32PC1_2021-22_74.wav,0.604,2.396
32PC1_2021-22_75.wav,0.613,2.387
32PC1_2021-22_76.wav,0.664,2.336
32PC1_2021-22_77.wav,0.562,2.4379999999999997
32PC1_2021-22_78.wav,0.536,2.464
32PC1_2021-22_79.wav,0.571,2.4290000000000003
32PC1_2021-22_8.wav,0.793,2.207
32PC1_2021-22_80.wav,0.596,2.404
32PC1_2021-22_81.wav,0.554,2.4459999999999997
32PC1_2021-22_82.wav,0.537,2.463
32PC1_2021-22_83.wav,0.494,2.5060000000000002
32PC1_2021-22_84.wav,0.579,2.4210000000000003
32PC1_2021-22_85.wav,0.562,2.4379999999999997
